record_type,pipeline,query,rank,document_id,similarity,preview,relevant_count,hits_at_5,precision_at_5,recall_at_5,reciprocal_rank,search_time_ms
retrieval,Pipeline A,natural language processing,3,24482,0.304923,"Harald, you are a co-owner of Language Partners. Are you a linguist yourself, and how did you get into this competitive line of business? No, I’m not a linguist; I am a historian and a business man. I",154,,,,,22.709
retrieval,Pipeline A,natural language processing,4,701,0.294741,"Program in Teaching French as a Foreign Language was established in 1985 under the Department of Foreign Education. 2 full professors,3 assistant professors and 3 research assistant are currently work",154,,,,,22.709
retrieval,Pipeline A,natural language processing,5,4075,0.277050,"Looking for Spanish language instructor to improve my reading, writing and speaking skills. We require the tutor to travel to our location at Gwal Pahari. A certification or degree in Spanish Language",154,,,,,22.709
evaluation,Pipeline A,natural language processing,,,,,154,0,0.000000,0.000000,0.000000,22.709
retrieval,Pipeline A,computer vision medical imaging,1,3820,0.283773,"Computer has turn out to be essential in our life in this world of science and know-how. In case you are situated in and around the North London and Herts area, there are lots of computer restore, lap",158,,,,,20.906
retrieval,Pipeline A,computer vision medical imaging,2,15116,0.272110,"To reach new levels of security, safety, comfort and entertainment we need to embrace the idea of computer vision in the home, rather than shying away from the idea of sharing personal data. Computer ",158,,,,,20.906
retrieval,Pipeline A,computer vision medical imaging,3,11697,0.269743,"At The Breast and Imaging Center experts subspecialized in women's Imaging headed by Dr. Mahesh Shetty provide personalized and interactive care in Breast, obstetric and Gynecological Imaging. The Bre",158,,,,,20.906
retrieval,Pipeline A,computer vision medical imaging,4,21344,0.257573,"Sometimes vision recovery is simple – a comprehensive examination determines a correctable diagnosis: glasses, medication, a surgical procedure. Sometimes recovery is elusive, but the caring and exper",158,,,,,20.906
retrieval,Pipeline A,computer vision medical imaging,5,18221,0.246048,"Providence is calling a Registered Radiologic Technologist to Providence Willamette Falls Medical Center in Oregon City, Oregon. This is a part-time (32 hrs per week), benefited position. Work schedul",158,,,,,20.906
evaluation,Pipeline A,computer vision medical imaging,,,,,158,4,0.800000,0.025316,0.500000,20.906
summary,Pipeline A,ALL,,,,,,,0.200000,0.007962,0.300000,
retrieval,Pipeline B,medical image classification,1,18971,0.453358,The new RTS Environmental Classification system (RTS GLT) is designed for parties who are commissioning construction projects and who want to build in an environmentally responsible manner. The enviro,51,,,,,23.669
retrieval,Pipeline B,medical image classification,2,8527,0.371799,History of maize classification. How races used in classification. Geographical distribution. Existing races of maize in Mexico.,51,,,,,23.669
retrieval,Pipeline B,medical image classification,3,15682,0.251272,"- Group Image: Provided functionality of group's image, user can now view and change the group's image also. - Profile image: User can now set a profile image during sign up process. This is a great a",51,,,,,23.669
retrieval,Pipeline B,medical image classification,4,19908,0.238865,"Download League Of Legends Wallpapers in high-quality for your desktop and smart-phone in wide-screen and HD resolution. Right click on image, and select “Save Image as League Of Legends Wallpapers” t",51,,,,,23.669
retrieval,Pipeline B,medical image classification,5,8370,0.238647,"What is a Online Medical Second Opinion? For over 25 years, patients and families have looked to We Care India for medical advice and treatment. Now you may consult with our world-renowned physicians ",51,,,,,23.669
evaluation,Pipeline B,medical image classification,,,,,51,0,0.000000,0.000000,0.000000,23.669
retrieval,Pipeline B,transformer language model,1,27936,0.510559,"hi, I am having problems with transformer / circuit board om my Hobby 720 uml model 2003. In view of the problems, can I bypass the transformer/circuit board ??",69,,,,,12.644
retrieval,Pipeline B,transformer language model,2,25428,0.282150,"Note: If you're on an iPhone, you cannot change the language of Facebook through the mobile app. Instead, Facebook uses whatever language your phone is set up to use, so to change it you have to pick ",69,,,,,12.644
retrieval,Pipeline B,transformer language model,3,24482,0.224992,"Harald, you are a co-owner of Language Partners. Are you a linguist yourself, and how did you get into this competitive line of business? No, I’m not a linguist; I am a historian and a business man. I",69,,,,,12.644
retrieval,Pipeline B,transformer language model,4,701,0.217313,"Program in Teaching French as a Foreign Language was established in 1985 under the Department of Foreign Education. 2 full professors,3 assistant professors and 3 research assistant are currently work",69,,,,,12.644
retrieval,Pipeline B,transformer language model,5,4289,0.209321,"Commercial Building Properties, Commercial Buildings for rent in Main Road, Kakinada. G+2 Commercial Building in 62 Square Feet Area is Available For Rent. Furniture, Ac, Transformer, Generator & Two ",69,,,,,12.644
evaluation,Pipeline B,transformer language model,,,,,69,1,0.200000,0.014493,1.000000,12.644
retrieval,Pipeline B,deep learning healthcare,1,11119,0.382397,The opportunities offered by Big Data will only materialize when healthcare systems move beyond the mere collection of large amounts of data. Linkage of previously separated data sets and their analys,145,,,,,11.659
retrieval,Pipeline B,deep learning healthcare,2,6123,0.359717,"With today’s advancement in technology, it is becoming more convenient than ever before to earn a Bachelor’s degree in a health-related field online. Some specializations, such as nutrition or public ",145,,,,,11.659
retrieval,Pipeline B,deep learning healthcare,3,11979,0.348212,Doctorate of Healthcare Organization Program is designed for the healthcare professionals who are working in healthcare organizations especially in hospitals or in clinics and who would like to broade,145,,,,,11.659
retrieval,Pipeline B,deep learning healthcare,4,9252,0.315365,"SAN DIEGO AND WASHINGTON, D.C. – Sept. 5, 2018 – West Health, a family of nonpartisan, nonprofit organizations focused on healthcare research, policy and philanthropy, has appointed Cristina Boccuti, ",145,,,,,11.659
retrieval,Pipeline B,deep learning healthcare,5,7564,0.281153,"would I have learned, learnt? would you have learned, learnt? would he have learned, learnt? would we have learned, learnt? would they have learned, learnt? would I have been learning? would you have ",145,,,,,11.659
evaluation,Pipeline B,deep learning healthcare,,,,,145,1,0.200000,0.006897,0.500000,11.659
retrieval,Pipeline B,natural language processing,1,8705,0.395059,"These regulations may be called the Food Safety and Standards (Food Products Standards and Food Additives) Amendment Regulations, 2019. They shall come into force on the date of their publication in t",154,,,,,11.396
retrieval,Pipeline B,natural language processing,2,25428,0.394605,"Note: If you're on an iPhone, you cannot change the language of Facebook through the mobile app. Instead, Facebook uses whatever language your phone is set up to use, so to change it you have to pick ",154,,,,,11.396
retrieval,Pipeline B,natural language processing,3,24482,0.314665,"Harald, you are a co-owner of Language Partners. Are you a linguist yourself, and how did you get into this competitive line of business? No, I’m not a linguist; I am a historian and a business man. I",154,,,,,11.396
retrieval,Pipeline B,natural language processing,4,701,0.303925,"Program in Teaching French as a Foreign Language was established in 1985 under the Department of Foreign Education. 2 full professors,3 assistant professors and 3 research assistant are currently work",154,,,,,11.396
retrieval,Pipeline B,natural language processing,5,21879,0.295316,"Richard Cox, a world-renowned spoken language researcher, has been appointed director of the Johns Hopkins University–based Human Language Technology Center of Excellence. The HLTCOE was founded in Ja",154,,,,,11.396
evaluation,Pipeline B,natural language processing,,,,,154,1,0.200000,0.006494,0.200000,11.396
retrieval,Pipeline B,computer vision medical imaging,1,11697,0.397026,"At The Breast and Imaging Center experts subspecialized in women's Imaging headed by Dr. Mahesh Shetty provide personalized and interactive care in Breast, obstetric and Gynecological Imaging. The Bre",158,,,,,11.547
retrieval,Pipeline B,computer vision medical imaging,2,15116,0.313666,"To reach new levels of security, safety, comfort and entertainment we need to embrace the idea of computer vision in the home, rather than shying away from the idea of sharing personal data. Computer ",158,,,,,11.547
retrieval,Pipeline B,computer vision medical imaging,3,3820,0.300739,"Computer has turn out to be essential in our life in this world of science and know-how. In case you are situated in and around the North London and Herts area, there are lots of computer restore, lap",158,,,,,11.547
retrieval,Pipeline B,computer vision medical imaging,4,21344,0.298758,"Sometimes vision recovery is simple – a comprehensive examination determines a correctable diagnosis: glasses, medication, a surgical procedure. Sometimes recovery is elusive, but the caring and exper",158,,,,,11.547
retrieval,Pipeline B,computer vision medical imaging,5,29972,0.296996,The project has been stopped because of cost/revenue considerations. We decided to divert investment to Artificial Intelligence technology development in the field of Imaging. In fact we consider AI m,158,,,,,11.547
evaluation,Pipeline B,computer vision medical imaging,,,,,158,3,0.600000,0.018987,1.000000,11.547
summary,Pipeline B,ALL,,,,,,,0.240000,0.009374,0.540000,
retrieval,Pipeline C,medical image classification,1,2940,0.677350,Agriculture Census forms part of a broader system of collection of Agricultural Statistics. It is a large-scale statistical operation for the collection and derivation of quantitative information abou,51,,,,,29.053
retrieval,Pipeline C,medical image classification,2,29844,0.591140,"DPT has given its official information about which you should read Deendayal Port Trust (DPT) has official published Advertisement for below mentioned Posts 2018. more other details like age limit, ed",51,,,,,29.053
retrieval,Pipeline C,medical image classification,3,9264,0.551192,This is a three-tier certification level which aims at providing IP skills development and assessment for typical job positions in the Datacom area. This certification is aimed for those who desire to,51,,,,,29.053
retrieval,Pipeline C,medical image classification,4,25638,0.528914,"This page presents the geographical name data for Ar Rujmayn in Lebanon, as supplied by the US military intelligence in electronic format, including the geographic coordinates and place name in variou",51,,,,,29.053
retrieval,Pipeline C,medical image classification,5,3722,0.523461,"This page presents the geographical name data for Aiun in Western Sahara, as supplied by the US military intelligence in electronic format, including the geographic coordinates and place name in vario",51,,,,,29.053
evaluation,Pipeline C,medical image classification,,,,,51,0,0.000000,0.000000,0.000000,29.053
retrieval,Pipeline C,transformer language model,1,16278,0.578049,"AgentSmart by Allianz Global Assistance is an award-winning monthly digest of our best practice travel insurance sales and marketing tips for travel professionals. Each month, subscribers receive cura",69,,,,,17.719
retrieval,Pipeline C,transformer language model,2,7740,0.566185,glamorous coloring page bird large size of free printable star wars coloring pages page captivating angry birds glamorous coloring page bird cage. here we are reach glamorous coloring page bird large ,69,,,,,17.719
retrieval,Pipeline C,transformer language model,3,3672,0.552135,"Affordable Forklift Training and MEWP Training Specialist Training Your Staff on Your Machines in the familiar surroundings of their own workplace. We cover Hereford and Worcester, Wales The West Coun",69,,,,,17.719
retrieval,Pipeline C,transformer language model,4,18457,0.529153,The Black magic mantra is a most well-built and dominant process that is utilized to eliminate any kinds of black magic issues from your ordinary life. Most of the people utilize the black magic mantr,69,,,,,17.719
retrieval,Pipeline C,transformer language model,5,22570,0.515510,colorful geometric wallpaper pertaining to Your house Interior | Blueicejets.com colorful geometric animal wallpaper. colorful geometric iphone wallpaper. multi colored geometric wallpaper. Colorful G,69,,,,,17.719
evaluation,Pipeline C,transformer language model,,,,,69,0,0.000000,0.000000,0.000000,17.719
retrieval,Pipeline C,deep learning healthcare,1,14983,0.623464,"A pair of carved american dressclips in a very rich green, the carvings in the center are inlaid with cork. The carvings are quite deep . The clipmechanics are riveted into the back, one of the clips ",145,,,,,16.199
retrieval,Pipeline C,deep learning healthcare,2,12753,0.503950,"Heavey discount available with replacement guarantee on Spy Mobile Phone Software, Spy Software Ahmedabad India, Spy Mobile Software at affordable prices Ahmedabad. If you are residing in India and ea",145,,,,,16.199
retrieval,Pipeline C,deep learning healthcare,3,10446,0.500938,"Find and complete a healthcare, dentalcare, visioncare and life and accidental death and dismemberment claim form. You can submit many of your healthcare claims through GroupNet, our secure online gro",145,,,,,16.199
retrieval,Pipeline C,deep learning healthcare,4,25366,0.494409,"Are you thinking about nursing home placement at Blue Care Mareeba Aged Care Facility ?. Don't stress - We have been placing residents into nursing homes since 2002, and have knowledge and experience ",145,,,,,16.199
retrieval,Pipeline C,deep learning healthcare,5,11886,0.491483,The main Gates at the Queens Park very rarely is there any pictures of them close up. There are lots of the main entrance showing the gates but very few of the actual gates. They are due for a overhau,145,,,,,16.199
evaluation,Pipeline C,deep learning healthcare,,,,,145,0,0.000000,0.000000,0.000000,16.199
retrieval,Pipeline C,natural language processing,1,15363,0.610701,"Using photography in marketing of products is a popular sales method. Consumers have short attention spans. They also need to see the same message or image repeatedly, for the message to reach them. T",154,,,,,18.436
retrieval,Pipeline C,natural language processing,2,13052,0.596732,"Tammy Blackburn is currently living in California, and is interested in Financial Services. This profile is owned by Tammy Blackburn. Send a message to this person to delete this profile.",154,,,,,18.436
retrieval,Pipeline C,natural language processing,3,9309,0.595259,Home Health What If My Medical Packaging Is Defective? It’s frustrating to receive shipments of medical products back that have been deemed unsafe or unfit for sale due to packaging failures. The caus,154,,,,,18.436
retrieval,Pipeline C,natural language processing,4,5399,0.578966,"Provide technical support to customers and employees in the form of sales presentations, product related training programs, and customer seminars. Provide Product Line specific Technical Sales support",154,,,,,18.436
retrieval,Pipeline C,natural language processing,5,701,0.565665,"Program in Teaching French as a Foreign Language was established in 1985 under the Department of Foreign Education. 2 full professors,3 assistant professors and 3 research assistant are currently work",154,,,,,18.436
evaluation,Pipeline C,natural language processing,,,,,154,0,0.000000,0.000000,0.000000,18.436
retrieval,Pipeline C,computer vision medical imaging,1,13690,0.581951,Text in finnish language missing. Sorry for the inconvinience. See in english language.,158,,,,,18.543
retrieval,Pipeline C,computer vision medical imaging,2,3656,0.545860,Our Commercial Mortgage expertise is unique in that it works hand in hand with all of our other teams to ensure that all mortgage options are considered. This unique approach means that we are more li,158,,,,,18.543
retrieval,Pipeline C,computer vision medical imaging,3,14630,0.543508,The role of a compliance manager is to ensure that the company is following its business in full compliance with all national and international laws and regulations. The Compliance Manager Training Co,158,,,,,18.543
retrieval,Pipeline C,computer vision medical imaging,4,16021,0.511810,"Close on the heels of Prime Minister Sh Narendra Modi's Swachh Bharat Abhiyaan, the Gian Sagar College and Hospital scrubbed clean village Fatehpur Garhi on outskirts of Rajpura under its Swasth Bhara",158,,,,,18.543
retrieval,Pipeline C,computer vision medical imaging,5,13647,0.510360,WASC Senior College and University Commission (WSCUC) members are selected through a multi-step process which is outlined in Article IV of the Commissions Bylaws. Nominations to the Commission are sou,158,,,,,18.543
evaluation,Pipeline C,computer vision medical imaging,,,,,158,0,0.000000,0.000000,0.000000,18.543
summary,Pipeline C,ALL,,,,,,,0.000000,0.000000,0.000000,
